,Year,County,NIB_EXTORTION,NIB_ROBBERY,NIB_THEFT,JRN_EXTORTION,JRN_ROBBERY,JRN_THEFT,Total Population,Total Crime,Crime %
22,2012,ADAMS,0,8,689,0,0,0,19050,697,3.66
23,2013,ADAMS,1,8,681,0,3,31,19200,724,3.77
24,2014,ADAMS,1,8,642,0,2,50,19400,703,3.62
25,2015,ADAMS,0,11,577,0,1,45,19410,634,3.27
26,2016,ADAMS,0,8,462,0,1,28,19510,499,2.56
49,2012,ASOTIN,0,6,656,0,0,0,21700,662,3.05
50,2013,ASOTIN,0,12,672,0,0,41,21800,725,3.33
51,2014,ASOTIN,0,5,559,0,1,3,21950,568,2.59
52,2015,ASOTIN,0,11,700,0,3,45,22010,759,3.45
53,2016,ASOTIN,0,2,704,0,0,15,22150,721,3.26
76,2012,BENTON,2,56,4397,0,0,0,180000,4455,2.48
77,2013,BENTON,4,60,4391,1,5,317,183400,4778,2.61
78,2014,BENTON,2,59,4446,0,7,294,186500,4808,2.58
79,2015,BENTON,9,37,4306,0,6,283,188590,4641,2.46
80,2016,BENTON,6,54,4539,1,9,235,190500,4844,2.54
103,2012,CHELAN,0,6,476,0,0,0,73200,482,0.66
104,2013,CHELAN,1,14,1597,0,1,101,73600,1714,2.33
105,2014,CHELAN,2,16,1353,0,1,82,74300,1454,1.96
106,2015,CHELAN,1,8,1550,0,0,89,75030,1648,2.2
107,2016,CHELAN,1,15,1645,0,3,62,75910,1726,2.27
130,2012,CLALLAM,3,25,1960,0,0,0,72000,1988,2.76
131,2013,CLALLAM,2,24,2016,0,0,56,72350,2098,2.9
132,2014,CLALLAM,0,27,1852,0,1,44,72500,1924,2.65
133,2015,CLALLAM,1,17,2070,0,0,36,72650,2124,2.92
134,2016,CLALLAM,1,11,1696,0,0,30,73410,1738,2.37
157,2012,CLARK,3,231,9814,0,0,0,431250,10048,2.33
158,2013,CLARK,5,197,8972,0,13,171,435500,9358,2.15
159,2013,GARFIELD,0,0,49,0,0,3,2250,52,2.31
160,2014,CLARK,4,208,8232,0,14,120,442800,8578,1.94
161,2015,CLARK,5,189,10088,0,19,145,451820,10446,2.31
162,2016,CLARK,0,196,9600,0,25,108,461010,9929,2.15
185,2012,COLUMBIA,0,0,120,0,0,0,4100,120,2.93
186,2013,COLUMBIA,0,0,166,0,0,0,4100,166,4.05
187,2014,COLUMBIA,0,0,89,0,0,0,4080,89,2.18
188,2015,COLUMBIA,0,0,51,0,0,0,4090,51,1.25
189,2016,COLUMBIA,0,0,116,0,0,0,4050,116,2.86
212,2012,COWLITZ,3,66,3380,0,0,0,103050,3449,3.35
213,2013,COWLITZ,5,61,3613,1,4,113,103300,3797,3.68
214,2014,COWLITZ,3,34,3413,0,1,147,103700,3598,3.47
215,2015,COWLITZ,1,54,3075,0,4,121,104280,3255,3.12
216,2016,COWLITZ,3,58,3219,0,1,109,104850,3390,3.23
240,2012,DOUGLAS,0,7,686,0,0,0,38900,693,1.78
241,2013,DOUGLAS,0,8,777,0,0,48,39280,833,2.12
242,2014,DOUGLAS,0,6,766,0,0,23,39700,795,2.0
243,2015,DOUGLAS,0,4,736,0,0,25,39990,765,1.91
244,2016,DOUGLAS,0,2,796,0,0,30,40720,828,2.03
261,2012,GARFIELD,0,0,42,0,0,0,2250,42,1.87
268,2012,FERRY,0,0,36,0,0,0,7650,36,0.47
269,2013,FERRY,0,5,30,0,0,0,7650,35,0.46
270,2014,FERRY,0,0,29,0,0,0,7660,29,0.38
271,2015,FERRY,0,2,19,0,0,0,7710,21,0.27
272,2016,FERRY,0,0,4,0,0,0,7700,4,0.05
295,2012,FRANKLIN,2,46,1810,0,0,0,82500,1858,2.25
296,2013,FRANKLIN,7,31,1764,0,0,55,84800,1857,2.19
297,2014,FRANKLIN,2,33,1615,0,6,91,86600,1747,2.02
298,2015,FRANKLIN,2,40,1606,1,1,63,87150,1713,1.97
299,2016,FRANKLIN,2,37,1797,0,3,82,88670,1921,2.17
321,2014,GARFIELD,0,0,30,0,0,0,2240,30,1.34
322,2015,GARFIELD,0,0,40,0,0,0,2260,40,1.77
323,2016,GARFIELD,0,0,34,0,0,0,2200,34,1.55
346,2012,GRANT,2,49,3022,0,0,0,91000,3073,3.38
347,2013,GRANT,4,44,3318,0,3,101,91800,3470,3.78
348,2014,GRANT,0,42,3042,0,0,90,92900,3174,3.42
349,2015,GRANT,2,45,3108,0,3,105,93930,3263,3.47
350,2016,GRANT,1,33,3049,0,2,87,94610,3172,3.35
373,2012,GRAYS HARBOR,0,28,1335,0,0,0,73150,1363,1.86
374,2013,GRAYS HARBOR,1,21,1839,0,0,64,73200,1925,2.63
375,2014,GRAYS HARBOR,1,33,1642,0,0,23,73300,1699,2.32
376,2015,GRAYS HARBOR,0,38,1630,0,0,35,73110,1703,2.33
377,2016,GRAYS HARBOR,2,24,1527,0,0,30,72820,1583,2.17
400,2012,ISLAND,0,4,1246,0,0,0,79350,1250,1.58
401,2013,ISLAND,1,8,1132,0,1,21,79700,1163,1.46
402,2014,ISLAND,0,9,953,0,0,15,80000,977,1.22
403,2015,ISLAND,2,11,746,0,1,16,80600,776,0.96
404,2016,ISLAND,0,4,755,0,0,14,82910,773,0.93
427,2012,JEFFERSON,0,2,625,0,0,0,30175,627,2.08
428,2013,JEFFERSON,0,1,593,0,0,12,30275,606,2.0
429,2014,JEFFERSON,0,5,627,0,1,9,30700,642,2.09
430,2015,JEFFERSON,1,4,455,0,0,5,30880,465,1.51
431,2016,JEFFERSON,0,2,460,0,0,13,31090,475,1.53
455,2012,KING,31,1829,47302,0,0,0,1957000,49162,2.51
456,2013,KING,23,2101,57763,0,144,838,1981900,60869,3.07
457,2014,KING,35,2251,74642,0,143,820,2017250,77891,3.86
458,2015,KING,69,2251,72958,0,173,790,2052800,76241,3.71
459,2016,KING,93,2420,76836,0,147,710,2105100,80206,3.81
481,2012,KITSAP,7,111,7100,0,0,0,254500,7218,2.84
482,2013,KITSAP,6,107,6529,0,4,79,254000,6725,2.65
483,2014,KITSAP,8,82,6773,0,2,58,255900,6923,2.71
484,2015,KITSAP,8,96,6443,0,3,53,258200,6603,2.56
485,2016,KITSAP,15,93,6484,0,6,52,262590,6650,2.53
509,2012,KITTITAS,1,6,1338,0,0,0,41500,1345,3.24
510,2013,KITTITAS,2,10,1097,0,2,21,41900,1132,2.7
511,2014,KITTITAS,1,4,1034,0,0,27,42100,1066,2.53
512,2015,KITTITAS,2,8,908,0,0,9,42670,927,2.17
513,2016,KITTITAS,2,7,947,0,0,19,43710,975,2.23
536,2012,KLICKITAT,0,1,251,0,0,0,20600,252,1.22
537,2013,KLICKITAT,0,4,234,0,0,13,20700,251,1.21
538,2014,KLICKITAT,0,2,207,0,3,17,20850,229,1.1
539,2015,KLICKITAT,0,2,286,0,0,7,21000,295,1.4
540,2016,KLICKITAT,0,2,194,0,0,6,21270,202,0.95
563,2012,LEWIS,2,23,1713,0,0,0,76300,1738,2.28
564,2013,LEWIS,1,23,1530,0,1,38,76200,1593,2.09
565,2014,LEWIS,4,25,1705,0,0,49,76300,1783,2.34
566,2015,LEWIS,1,34,1675,0,3,46,76660,1759,2.29
567,2016,LEWIS,1,28,1975,0,1,55,76890,2060,2.68
590,2012,LINCOLN,0,0,154,0,0,0,10675,154,1.44
591,2013,LINCOLN,0,0,115,0,0,5,10675,120,1.12
592,2014,LINCOLN,0,1,126,0,0,4,10700,131,1.22
593,2015,LINCOLN,0,2,137,0,0,3,10720,142,1.32
594,2016,LINCOLN,0,2,130,0,0,1,10640,133,1.25
617,2012,MASON,0,22,1983,0,0,0,61450,2005,3.26
618,2013,MASON,0,21,1596,0,1,13,61800,1631,2.64
619,2014,MASON,0,20,1634,0,0,12,62000,1666,2.69
620,2015,MASON,0,20,1541,0,0,21,62200,1582,2.54
621,2016,MASON,1,14,1418,0,0,9,62320,1442,2.31
644,2012,OKANOGAN,0,5,586,0,0,0,41425,591,1.43
645,2013,OKANOGAN,0,9,706,0,0,45,41500,760,1.83
646,2014,OKANOGAN,0,6,640,0,0,18,41700,664,1.59
647,2015,OKANOGAN,0,3,587,0,0,8,41860,598,1.43
648,2016,OKANOGAN,0,10,460,0,0,6,41730,476,1.14
671,2012,PACIFIC,0,1,273,0,0,0,20970,274,1.31
672,2013,PACIFIC,0,1,278,0,0,1,21000,280,1.33
673,2014,PACIFIC,0,1,281,0,0,1,21100,283,1.34
674,2015,PACIFIC,0,2,217,0,0,1,21210,220,1.04
675,2016,PACIFIC,0,1,216,0,0,4,21180,221,1.04
698,2012,PEND OREILLE,0,1,352,0,0,0,13100,353,2.69
699,2013,PEND OREILLE,0,0,365,0,0,0,13150,365,2.78
700,2014,PEND OREILLE,0,1,284,0,0,0,13210,285,2.16
701,2015,PEND OREILLE,0,1,226,0,0,0,13240,227,1.71
702,2016,PEND OREILLE,0,1,224,0,0,3,13290,228,1.72
725,2012,PIERCE,33,886,29762,0,0,0,808200,30681,3.8
726,2013,PIERCE,45,908,30918,0,51,592,814500,32514,3.99
727,2014,PIERCE,53,981,29891,3,65,458,821300,31451,3.83
728,2015,PIERCE,58,918,30291,0,35,307,830120,31609,3.81
729,2016,PIERCE,53,1008,32692,0,68,283,844490,34104,4.04
752,2012,SAN JUAN,0,0,160,0,0,0,15925,160,1.0
753,2013,SAN JUAN,0,2,161,0,0,2,16000,165,1.03
754,2014,SAN JUAN,0,0,139,0,0,1,16100,140,0.87
755,2015,SAN JUAN,0,0,191,0,0,1,16180,192,1.19
756,2016,SAN JUAN,0,1,172,0,0,0,16320,173,1.06
779,2012,SKAGIT,3,47,4203,0,0,0,117950,4253,3.61
780,2013,SKAGIT,1,64,4515,0,1,122,118600,4703,3.97
781,2014,SKAGIT,1,36,3978,0,0,87,119500,4102,3.43
782,2015,SKAGIT,4,50,4289,0,9,132,120620,4484,3.72
784,2016,SKAGIT,5,55,4041,0,4,82,122270,4187,3.42
805,2012,SKAMANIA,0,0,85,0,0,0,11275,85,0.75
806,2013,SKAMANIA,0,0,81,0,0,0,11300,81,0.72
807,2014,SKAMANIA,0,3,91,0,0,3,11370,97,0.85
808,2015,SKAMANIA,0,0,105,0,0,2,11430,107,0.94
809,2016,SKAMANIA,0,0,53,0,0,0,11500,53,0.46
833,2012,SNOHOMISH,0,38,1676,0,0,0,722900,1714,0.24
834,2013,SNOHOMISH,3,53,2620,0,2,61,730500,2739,0.37
835,2014,SNOHOMISH,1,46,3391,0,5,74,741000,3517,0.47
836,2015,SNOHOMISH,6,111,6295,0,2,133,757600,6547,0.86
837,2016,SNOHOMISH,21,395,21820,0,21,304,772860,22561,2.92
859,2012,SPOKANE,2,18,759,0,0,0,475600,779,0.16
860,2013,SPOKANE,0,13,696,0,3,9,480000,721,0.15
861,2014,SPOKANE,0,12,726,0,0,17,484500,755,0.16
862,2015,SPOKANE,2,12,752,0,0,12,488310,778,0.16
863,2016,SPOKANE,16,105,8687,0,4,80,492530,8892,1.81
886,2012,STATE,101,3807,145074,0,0,0,6817770,148982,2.19
887,2013,STATE,115,4114,158504,2,259,3449,6882400,166443,2.42
888,2014,STATE,133,4327,179011,3,273,3245,6968170,186992,2.68
889,2015,STATE,197,4392,182468,2,284,3061,7061410,190404,2.7
890,2016,STATE,251,4987,212370,1,312,2892,7183700,220813,3.07
913,2012,STEVENS,0,1,664,0,0,0,43700,665,1.52
914,2013,STEVENS,0,6,578,0,0,9,43800,593,1.35
915,2014,STEVENS,0,0,624,0,0,4,43900,628,1.43
916,2015,STEVENS,0,7,561,0,0,5,44030,573,1.3
917,2016,STEVENS,0,3,479,0,0,1,44100,483,1.1
940,2012,THURSTON,4,27,2709,0,0,0,256800,2740,1.07
941,2013,THURSTON,2,33,2160,0,2,38,260100,2235,0.86
942,2014,THURSTON,5,116,6803,0,5,107,264000,7036,2.67
943,2015,THURSTON,7,118,7584,1,4,77,267410,7791,2.91
944,2016,THURSTON,5,109,7832,0,1,70,272690,8017,2.94
967,2012,WAHKIAKUM,0,0,14,0,0,0,4025,14,0.35
968,2013,WAHKIAKUM,0,0,19,0,0,0,4020,19,0.47
969,2014,WAHKIAKUM,0,0,27,0,0,0,4010,27,0.67
970,2015,WAHKIAKUM,0,0,39,0,0,4,3980,43,1.08
971,2016,WAHKIAKUM,0,0,39,0,0,0,4000,39,0.98
994,2012,WALLA WALLA,2,4,589,0,0,0,59100,595,1.01
995,2013,WALLA WALLA,0,16,1894,0,0,93,59500,2003,3.37
996,2014,WALLA WALLA,5,14,1905,0,0,57,60150,1981,3.29
997,2015,WALLA WALLA,3,24,1984,0,2,45,60650,2058,3.39
998,2016,WALLA WALLA,6,21,1963,0,0,30,60730,2020,3.33
1021,2012,WHATCOM,1,56,5208,0,0,0,203500,5265,2.59
1022,2013,WHATCOM,1,55,5384,0,3,204,205800,5647,2.74
1023,2014,WHATCOM,2,86,7020,0,6,208,207600,7322,3.53
1024,2015,WHATCOM,4,63,6555,0,6,135,209790,6763,3.22
1025,2016,WHATCOM,3,69,6945,0,7,107,212540,7131,3.36
1048,2012,WHITMAN,0,6,848,0,0,0,45950,854,1.86
1049,2013,WHITMAN,0,4,697,0,0,9,46000,710,1.54
1050,2014,WHITMAN,3,3,777,0,0,24,46500,807,1.74
1051,2015,WHITMAN,0,6,585,0,0,8,47250,599,1.27
1052,2016,WHITMAN,6,9,404,0,0,9,47940,428,0.89
1075,2012,YAKIMA,0,191,7051,0,0,0,246000,7242,2.94
1076,2013,YAKIMA,0,190,6958,0,15,123,247250,7286,2.95
1077,2014,YAKIMA,0,152,7023,0,10,208,248800,7393,2.97
1078,2015,YAKIMA,9,193,7502,0,9,249,249970,7962,3.19
1079,2016,YAKIMA,8,188,7956,0,9,218,250900,8379,3.34
